ReceivingCode,ReceivingDescription,total_industry_output,auto_attributed_output,auto_share_of_output
227,Prefabricated metal buildings and components manufacturing,17700074554.37214,12887133.472003276,0.0007280835700672228
228,Fabricated structural metal manufacturing,44807244463.83155,335325672.7159966,0.007483737880526704
229,Plate work manufacturing,14531409041.594225,1785607220.4196866,0.12287915200161412
230,Metal window and door manufacturing,21834701527.806885,69011326.73631082,0.0031606260634441767
231,Sheet metal work manufacturing,37196561687.653076,1218157766.9503462,0.032749203466155265
232,Ornamental and architectural metal work manufacturing,12093818054.429043,21188152.92758887,0.0017519821145175294
233,Power boiler and heat exchanger manufacturing,6953785134.991309,1324013.9178560125,0.00019040190229542765
234,Metal tank (heavy gauge) manufacturing,12168114138.099648,19894275.188408718,0.0016349513953125773
235,Metal cans manufacturing,22678336962.69915,259017072.91181153,0.01142134334355457
236,"Metal barrels, drums and pails manufacturing",5635260903.541982,153357799.73656827,0.027213966196343618
237,Hardware manufacturing,8968059527.1419,648837086.726503,0.0723497747492412
238,Spring and wire product manufacturing,12396776766.878708,1533442386.2035465,0.12369686209890836
239,Machine shops,55641158141.35776,4622807126.292017,0.08308251087347354
240,"Turned product and screw, nut, and bolt manufacturing",19743905262.524975,3319526417.8904986,0.16812917068596067
241,Metal heat treating,5605854122.5759325,284178913.662187,0.05069324093142913
242,Metal coating and nonprecious engraving,23772551029.2499,1319925876.610069,0.05552310624913682
243,"Electroplating, anodizing, and coloring metal",10218216994.818178,569117150.0490319,0.05569632650565556
244,"Valve and fittings, other than plumbing, manufacturing",24265576937.502605,1243084657.4174576,0.05122831658274987
245,Plumbing fixture fitting and trim manufacturing,8249504003.051278,56908009.98711261,0.006898355339431778
246,Ball and roller bearing manufacturing,5791623880.440053,715764614.043697,0.12358617010007089
247,Small arms ammunition manufacturing,5760469745.198245,190273.99006203093,3.303098505475836e-05
248,"Ammunition, except for small arms, manufacturing",4464190640.314997,171895.87425095972,3.850549586718156e-05
249,"Small arms, ordnance, and accessories manufacturing",13502841170.37939,4495811.440244827,0.00033295299733711585
250,Fabricated pipe and pipe fitting manufacturing,10306139782.53878,56904638.094981976,0.005521430845658905
251,Other fabricated metal manufacturing,20954509143.34724,336106139.8113881,0.016039800193463228
252,Farm machinery and equipment manufacturing,46382268440.26357,30290985.415238515,0.0006530725303841216
253,Lawn and garden equipment manufacturing,10362250928.50597,30433907.73203093,0.002936997756762381
254,Construction machinery manufacturing,50117061942.55051,752707.4746156775,1.501898645771595e-05
255,Mining machinery and equipment manufacturing,2835004337.8083262,670552.0012771547,0.00023652591720390182
256,Oil and gas field machinery and equipment manufacturing,22237119224.30376,2559632.2078741686,0.00011510628611806214
257,Semiconductor machinery manufacturing,9633245938.305138,263536.29594442615,2.7356957107937434e-05
258,Food product machinery manufacturing,6319329299.473743,259122.88867996688,4.100480864346568e-05
259,"Sawmill, woodworking, and paper machinery",3542103779.697264,65877.2080698859,1.8598328046592776e-05
260,All other industrial machinery manufacturing,18957864051.298862,9850936.69781339,0.0005196227101933708
261,Commercial and service industry machinery manufacturing,26934850367.19016,16045946.142737275,0.0005957317721832656
262,Industrial and commercial fan and blower and air purification equipment manufacturing,8578029710.050261,23240830.232779086,0.0027093436393149204
263,Heating equipment (except warm air furnaces) manufacturing,5592039904.274064,597834.2695800602,0.00010690808359989136
264,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",43548767540.83735,1502310254.5265944,0.03449719336185164
265,Industrial mold manufacturing,6949630870.247068,15118850.776283273,0.002175489757450352
266,"Special tool, die, jig, and fixture manufacturing",11999287321.070786,391226413.961942,0.032604137520313166
267,Cutting tool and machine tool accessory manufacturing,4676513766.718019,92212150.38041894,0.019718139404758667
268,Machine tool manufacturing,12692020007.292114,42828181.15434334,0.0033744180303637004
269,Rolling mill and other metalworking machinery manufacturing,3782296202.976874,17889941.863821037,0.0047299156130978515
270,Turbine and turbine generator set units manufacturing,2718700067.093093,104751199.97922349,0.03852988464859468
271,"Speed changer, industrial high-speed drive, and gear manufacturing",2485249140.7294655,906470410.7157981,0.36474025716783176
272,Mechanical power transmission equipment manufacturing,2936818693.229966,1034688296.6458644,0.352316027894761
273,Other engine equipment manufacturing,45645772811.55811,15960886920.257238,0.3496684564011967
274,"Measuring, dispensing, and other pumping equipment manufacturing",11784227128.83855,4918321.258597946,0.0004173647711322324
275,Air and gas compressor manufacturing,5922449398.244658,8045566.329867163,0.0013584862932305964
276,Elevator and moving stairway manufacturing,4823152248.976468,1255449.7838627826,0.00026029652788364796
277,Conveyor and conveying equipment manufacturing,10963676507.100962,10867333.19615705,0.0009912124996681987
278,"Overhead cranes, hoists, and monorail systems manufacturing",8458113663.830831,23731589.992405217,0.0028057780890185812
279,"Industrial truck, trailer, and stacker manufacturing",14527755161.450268,61102516.76101288,0.004205915923139303
280,Power-driven handtool manufacturing,7702273228.476635,13482957.312916616,0.0017505166219068669
281,Welding and soldering equipment manufacturing,7122467081.594393,49600473.81697791,0.00696394567342453
282,Packaging machinery manufacturing,10148092063.475529,4216460.710224915,0.00041549295018721553
283,Industrial process furnace and oven manufacturing,2282281753.778907,1276480.0136202858,0.0005592999249574438
284,Fluid power cylinder and actuator manufacturing,3842842187.864954,1520259876.2548459,0.3956081988106536
285,Fluid power pump and motor manufacturing,7888840481.839627,2570739050.692974,0.3258703299440394
286,"Scales, balances, and miscellaneous general purpose machinery manufacturing",7220312774.51415,68503382.25984077,0.009487592075185458
287,Electronic computer manufacturing,57209726169.51362,301995398.86347574,0.0052787422538723055
288,Computer storage device manufacturing,10120845327.371353,717375.000215431,7.08809370177137e-05
289,Computer terminals and other computer peripheral equipment manufacturing,9971650503.500603,32063437.505289193,0.003215459416074916
290,Telephone apparatus manufacturing,6926155564.686017,318272.39800053753,4.5952245084314066e-05
291,Broadcast and wireless communications equipment manufacturing,12111284168.18492,1566278.9449696443,0.00012932393652228025
292,Other communications equipment manufacturing,8588984852.553159,2501545.720764192,0.00029125045202758545
293,Audio and video equipment manufacturing,14868450489.329166,865514103.225127,0.05821145275671407
294,Printed circuit assembly (electronic assembly) manufacturing,29754433033.236526,934648492.7121739,0.03141207535926313
295,Bare printed circuit board manufacturing,6885878499.971289,728706512.9625652,0.10582622289452298
296,Semiconductor and related device manufacturing,145856687563.012,8545803496.22234,0.05859041254128605
297,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",3087838833.1148286,102576726.74513324,0.03321958570022255
298,Electronic connector manufacturing,7172066893.121159,71900098.06574439,0.01002501777203234
299,Other electronic component manufacturing,16691932276.996418,2379263001.343701,0.14253969893123905
300,Electromedical and electrotherapeutic apparatus manufacturing,33818037356.2428,698938.7005814074,2.066763050790656e-05
301,"Search, detection, and navigation instruments manufacturing",73314159654.49841,10725798.57731427,0.00014629914095531962
302,Automatic environmental control manufacturing,3943630505.0073204,16951119.728223696,0.004298353942312917
303,Industrial process variable instruments manufacturing,14972123994.376196,8221577.384997308,0.0005491256543216903
304,Totalizing fluid meter and counting device manufacturing,3231205437.256534,321194894.3627491,0.09940404613686857
305,Electricity and signal testing instruments manufacturing,12499052800.308584,2614160.516012547,0.00020914868972695332
306,Analytical laboratory instrument manufacturing,17315484098.33464,21468142.64869165,0.001239823416242599
307,Irradiation apparatus manufacturing,9770683970.758272,42020.7477822227,4.300696646005796e-06
308,"Watch, clock, and other measuring and controlling device manufacturing",18951559069.20813,648573.1578951883,3.422268086370628e-05
309,Manufacturing and reproducing magnetic and optical media,9666704507.07799,25493138.739159744,0.0026372109254496805
310,Electric lamp bulb and part manufacturing,2103929881.3983645,214285933.00994357,0.10185032063308103
311,Lighting fixture manufacturing,12860348722.27203,75636548.45867263,0.005881376165770874
312,Small electrical appliance manufacturing,4867165032.250606,124144.31850593859,2.5506494578124778e-05
313,Major household appliance manufacturing,30178439867.92081,4115418.1375648268,0.00013636947952168493
314,"Power, distribution, and specialty transformer manufacturing",11359683285.462618,1652627.4711060857,0.00014548182634818794
315,Motor and generator manufacturing,13428763888.836607,213416925.21625355,0.015892521976178912
316,Switchgear and switchboard apparatus manufacturing,16836493398.338985,23053001.396864865,0.0013692281908974687
317,Relay and industrial control manufacturing,14055141248.583076,207164795.89876345,0.014739431801843193
318,Battery manufacturing,19855656119.947636,3029886877.7646694,0.15259565634402517
319,Fiber optic cable manufacturing,6654672896.826833,80767454.50115852,0.012136953348927353
320,Other communication and energy wire manufacturing,5559189880.681073,568978974.4185492,0.10234926070718092
321,Wiring device manufacturing,15864508199.350576,1736714281.5178158,0.10947167474053242
322,Carbon and graphite product manufacturing,3633029398.545299,0.0,0.0
323,All other miscellaneous electrical equipment and component manufacturing,9393857540.740206,49931176.74580931,0.00531530061311478
324,Automobile and light duty motor vehicle manufacturing,333618755870.14667,724026849.7427362,0.002170222258201055
325,Heavy duty truck manufacturing,30451948069.063953,364637443.84349746,0.011974191044084027
326,Motor vehicle body manufacturing,16269524397.051062,1924988596.93958,0.1183186766841503
327,Truck trailer manufacturing,16628182487.499123,66423575.72078622,0.003994638365962287
328,Motor home manufacturing,8598618390.470339,1357878.6443168889,0.0001579182355413977
329,Travel trailer and camper manufacturing,16990998326.209686,65891966.25156498,0.003878051482703195
330,Motor vehicle gasoline engine and engine parts manufacturing,33419690526.78299,15737131810.935394,0.47089400179584084
331,Motor vehicle electrical and electronic equipment manufacturing,28646028232.494118,8654161568.355864,0.3021068574714022
332,Motor vehicle transmission and power train parts manufacturing,49920034759.46266,25896802431.04591,0.5187657131215639
333,Motor vehicle seating and interior trim manufacturing,34816772176.318665,30875488747.33787,0.8867992871647781
334,Motor vehicle metal stamping,34220468562.768093,32285775663.495422,0.9434638688326548
335,Other motor vehicle parts manufacturing,65540256465.34109,24967881774.815235,0.38095489888750617
336,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",20392896165.817528,9112421753.073769,0.44684294368879124
337,Aircraft manufacturing,78436795237.30658,5784430.441730652,7.3746389360123e-05
338,Aircraft engine and engine parts manufacturing,51680463278.68424,305185.453541287,5.905238346947281e-06
