title_2023,code,type,employment_base_2023,employment_proj_2023,share_base_2023,share_proj_2023,change_numeric_2023,change_percent_2023,self_employed_2023,openings_2023,median_wage_2023,base_year_2023,projection_year_2023,title_2024,employment_base_2024,employment_proj_2024,share_base_2024,share_proj_2024,change_numeric_2024,change_percent_2024,self_employed_2024,openings_2024,median_wage_2024,base_year_2024,projection_year_2024,_merge,employment_base_delta,employment_proj_delta,share_base_delta,share_proj_delta,change_numeric_delta,change_percent_delta,self_employed_delta,openings_delta,median_wage_delta
Computer and information systems managers,11-3021,Line item,613.5,720.4,0.4,0.4,106.9,17.4,1.0,54.7,169510.0,2023,2033,Computer and information systems managers,667.1,768.7,0.4,0.4,101.6,15.2,0.9,55.6,171200.0,2024,2034,both,53.60000000000002,48.30000000000007,0.0,0.0,-5.300000000000011,-2.1999999999999993,-0.09999999999999998,0.8999999999999986,1690.0
Financial managers,11-3031,Line item,837.1,975.3,0.5,0.6,138.3,16.5,2.4,75.1,156100.0,2023,2033,Financial managers,868.6,997.4,0.5,0.6,128.8,14.8,2.4,74.6,161700.0,2024,2034,both,31.5,22.100000000000023,0.0,0.0,-9.5,-1.6999999999999993,0.0,-0.5,5600.0
Industrial production managers,11-3051,Line item,230.1,236.7,0.1,0.1,6.5,2.8,1.4,17.1,116970.0,2023,2033,Industrial production managers,241.9,246.5,0.1,0.1,4.6,1.9,2.6,17.1,121440.0,2024,2034,both,11.800000000000011,9.800000000000011,0.0,0.0,-1.9000000000000004,-0.8999999999999999,1.2000000000000002,0.0,4470.0
Purchasing managers,11-3061,Line item,81.3,85.4,0.0,0.0,4.1,5.1,3.8,6.5,136380.0,2023,2033,Purchasing managers,83.5,86.1,0.0,0.0,2.6,3.1,0.8,6.4,139510.0,2024,2034,both,2.200000000000003,0.6999999999999886,0.0,0.0,-1.4999999999999996,-1.9999999999999996,-3.0,-0.09999999999999964,3130.0
"Transportation, storage, and distribution managers",11-3071,Line item,211.8,230.8,0.1,0.1,19.1,9.0,3.7,19.7,99200.0,2023,2033,"Transportation, storage, and distribution managers",216.7,229.8,0.1,0.1,13.1,6.1,1.7,18.5,102010.0,2024,2034,both,4.899999999999977,-1.0,0.0,0.0,-6.000000000000002,-2.9000000000000004,-2.0,-1.1999999999999993,2810.0
Compensation and benefits managers,11-3111,Line item,19.1,19.5,0.0,0.0,0.4,2.1,,1.3,136380.0,2023,2033,Compensation and benefits managers,20.9,20.9,0.0,0.0,0.0,0.2,1.4,1.5,140360.0,2024,2034,both,1.7999999999999972,1.3999999999999986,0.0,0.0,-0.4,-1.9000000000000001,,0.19999999999999996,3980.0
Human resources managers,11-3121,Line item,208.9,222.5,0.1,0.1,13.5,6.5,1.1,17.4,136350.0,2023,2033,Human resources managers,221.9,233.0,0.1,0.1,11.1,5.0,0.6,17.9,140030.0,2024,2034,both,13.0,10.5,0.0,0.0,-2.4000000000000004,-1.5,-0.5000000000000001,0.5,3680.0
Training and development managers,11-3131,Line item,43.2,46.4,0.0,0.0,3.2,7.3,,3.6,125040.0,2023,2033,Training and development managers,46.4,49.2,0.0,0.0,2.7,5.8,,3.8,127090.0,2024,2034,both,3.1999999999999957,2.8000000000000043,0.0,0.0,-0.5,-1.5,,0.19999999999999973,2050.0
"Farmers, ranchers, and other agricultural managers",11-9013,Line item,856.6,842.9,0.5,0.5,-13.8,-1.6,65.2,88.5,83770.0,2023,2033,"Farmers, ranchers, and other agricultural managers",836.1,825.0,0.5,0.5,-11.1,-1.3,62.6,85.5,87980.0,2024,2034,both,-20.5,-17.899999999999977,0.0,0.0,2.700000000000001,0.30000000000000004,-2.6000000000000014,-3.0,4210.0
Construction managers,11-9021,Line item,520.9,568.5,0.3,0.3,47.6,9.1,35.8,45.8,104900.0,2023,2033,Construction managers,550.3,598.4,0.3,0.3,48.1,8.7,35.8,46.8,106980.0,2024,2034,both,29.399999999999977,29.899999999999977,0.0,0.0,0.5,-0.40000000000000036,0.0,1.0,2080.0
"Education and childcare administrators, preschool and daycare",11-9031,Line item,80.9,79.2,0.0,0.0,-1.7,-2.1,5.9,5.1,54290.0,2023,2033,"Education and childcare administrators, preschool and daycare",90.2,87.9,0.1,0.1,-2.3,-2.5,4.9,5.5,56270.0,2024,2034,both,9.299999999999997,8.700000000000003,0.1,0.1,-0.5999999999999999,-0.3999999999999999,-1.0,0.40000000000000036,1980.0
"Education administrators, kindergarten through secondary",11-9032,Line item,316.6,315.0,0.2,0.2,-1.6,-0.5,1.4,20.8,103460.0,2023,2033,"Education administrators, kindergarten through secondary",333.3,328.1,0.2,0.2,-5.1,-1.5,1.2,20.8,104070.0,2024,2034,both,16.69999999999999,13.100000000000023,0.0,0.0,-3.4999999999999996,-1.0,-0.19999999999999996,0.0,610.0
"Education administrators, postsecondary",11-9033,Line item,216.4,222.7,0.1,0.1,6.2,2.9,2.7,15.2,102610.0,2023,2033,"Education administrators, postsecondary",226.6,230.5,0.1,0.1,4.0,1.7,2.2,15.1,103960.0,2024,2034,both,10.199999999999989,7.800000000000011,0.0,0.0,-2.2,-1.2,-0.5,-0.09999999999999964,1350.0
"Education administrators, all other",11-9039,Line item,57.7,59.1,0.0,0.0,1.4,2.5,4.3,4.0,88460.0,2023,2033,"Education administrators, all other",60.2,61.7,0.0,0.0,1.5,2.5,3.5,4.1,89040.0,2024,2034,both,2.5,2.6000000000000014,0.0,0.0,0.10000000000000009,0.0,-0.7999999999999998,0.09999999999999964,580.0
Architectural and engineering managers,11-9041,Line item,210.2,221.8,0.1,0.1,11.6,5.5,,15.0,165370.0,2023,2033,Architectural and engineering managers,212.5,220.5,0.1,0.1,8.0,3.8,0.2,14.5,167740.0,2024,2034,both,2.3000000000000114,-1.3000000000000114,0.0,0.0,-3.5999999999999996,-1.7000000000000002,,-0.5,2370.0
Food service managers,11-9051,Line item,393.6,399.5,0.2,0.2,5.9,1.5,36.4,44.5,63060.0,2023,2033,Food service managers,352.8,375.3,0.2,0.2,22.6,6.4,30.3,42.0,65310.0,2024,2034,both,-40.80000000000001,-24.19999999999999,0.0,0.0,16.700000000000003,4.9,-6.099999999999998,-2.5,2250.0
Gambling managers,11-9071,Line item,5.3,5.5,0.0,0.0,0.3,5.1,9.5,0.7,82380.0,2023,2033,Gambling managers,5.1,5.2,0.0,0.0,0.1,1.2,7.7,0.6,85580.0,2024,2034,both,-0.20000000000000018,-0.2999999999999998,0.0,0.0,-0.19999999999999998,-3.8999999999999995,-1.7999999999999998,-0.09999999999999998,3200.0
"Entertainment and recreation managers, except gambling",11-9072,Line item,35.8,39.7,0.0,0.0,3.9,10.8,11.4,4.8,73460.0,2023,2033,"Entertainment and recreation managers, except gambling",43.2,46.5,0.0,0.0,3.3,7.7,8.6,5.5,77180.0,2024,2034,both,7.400000000000006,6.799999999999997,0.0,0.0,-0.6000000000000001,-3.1000000000000005,-2.8000000000000007,0.7000000000000002,3720.0
Lodging managers,11-9081,Line item,53.3,58.6,0.0,0.0,5.3,9.9,18.7,6.0,65360.0,2023,2033,Lodging managers,52.0,53.8,0.0,0.0,1.8,3.4,19.1,5.4,68130.0,2024,2034,both,-1.2999999999999972,-4.800000000000004,0.0,0.0,-3.5,-6.5,0.40000000000000213,-0.5999999999999996,2770.0
Medical and health services managers,11-9111,Line item,562.7,723.3,0.3,0.4,160.6,28.5,5.1,61.4,110680.0,2023,2033,Medical and health services managers,616.2,759.1,0.4,0.4,142.9,23.2,5.1,62.1,117960.0,2024,2034,both,53.5,35.80000000000007,0.10000000000000003,0.0,-17.69999999999999,-5.300000000000001,0.0,0.7000000000000028,7280.0
Natural sciences managers,11-9121,Line item,100.1,107.6,0.1,0.1,7.5,7.5,,8.3,157740.0,2023,2033,Natural sciences managers,104.3,108.2,0.1,0.1,3.9,3.7,,8.5,161180.0,2024,2034,both,4.200000000000003,0.6000000000000085,0.0,0.0,-3.6,-3.8,,0.1999999999999993,3440.0
Postmasters and mail superintendents,11-9131,Line item,13.2,12.8,0.0,0.0,-0.4,-3.0,,0.9,88670.0,2023,2033,Postmasters and mail superintendents,13.1,12.7,0.0,0.0,-0.5,-3.5,,0.9,92730.0,2024,2034,both,-0.09999999999999964,-0.10000000000000142,0.0,0.0,-0.09999999999999998,-0.5,,0.0,4060.0
"Property, real estate, and community association managers",11-9141,Line item,467.1,482.2,0.3,0.3,15.1,3.2,37.4,37.8,62850.0,2023,2033,"Property, real estate, and community association managers",466.1,483.1,0.3,0.3,17.0,3.6,34.0,39.0,66700.0,2024,2034,both,-1.0,0.9000000000000341,0.0,0.0,1.9000000000000004,0.3999999999999999,-3.3999999999999986,1.2000000000000028,3850.0
Social and community service managers,11-9151,Line item,199.5,215.9,0.1,0.1,16.4,8.2,7.2,17.8,77030.0,2023,2033,Social and community service managers,219.8,233.9,0.1,0.1,14.1,6.4,5.6,18.6,78240.0,2024,2034,both,20.30000000000001,18.0,0.0,0.0,-2.299999999999999,-1.799999999999999,-1.6000000000000005,0.8000000000000007,1210.0
Emergency management directors,11-9161,Line item,12.4,12.9,0.0,0.0,0.5,4.0,,1.0,83960.0,2023,2033,Emergency management directors,13.2,13.6,0.0,0.0,0.4,3.0,,1.0,86130.0,2024,2034,both,0.7999999999999989,0.6999999999999993,0.0,0.0,-0.09999999999999998,-1.0,,0.0,2170.0
Funeral home managers,11-9171,Line item,35.8,37.4,0.0,0.0,1.6,4.5,58.3,2.9,75660.0,2023,2033,Funeral home managers,32.1,33.4,0.0,0.0,1.3,4.1,56.1,2.6,76830.0,2024,2034,both,-3.6999999999999957,-4.0,0.0,0.0,-0.30000000000000004,-0.40000000000000036,-2.1999999999999957,-0.2999999999999998,1170.0
"Personal service managers, all other",11-9179,Line item,27.9,29.8,0.0,0.0,1.9,6.9,56.5,2.3,57570.0,2023,2033,"Personal service managers, all other",25.1,26.7,0.0,0.0,1.6,6.5,54.3,2.1,61340.0,2024,2034,both,-2.799999999999997,-3.1000000000000014,0.0,0.0,-0.2999999999999998,-0.40000000000000036,-2.200000000000003,-0.19999999999999973,3770.0
"Managers, all other",11-9199,Line item,1282.5,1356.2,0.8,0.8,73.7,5.7,50.5,105.8,133560.0,2023,2033,"Managers, all other",1333.7,1393.5,0.8,0.8,59.8,4.5,48.6,106.7,136550.0,2024,2034,both,51.200000000000045,37.299999999999955,0.0,0.0,-13.900000000000006,-1.2000000000000002,-1.8999999999999986,0.9000000000000057,2990.0
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,18.6,20.4,0.0,0.0,1.7,9.2,33.6,2.1,84900.0,2023,2033,"Agents and business managers of artists, performers, and athletes",21.4,23.2,0.0,0.0,1.9,8.7,26.1,2.2,96310.0,2024,2034,both,2.799999999999997,2.8000000000000007,0.0,0.0,0.19999999999999996,-0.5,-7.5,0.10000000000000009,11410.0
Buyers and purchasing agents,13-1020,Line item,524.1,561.4,0.3,0.3,37.2,7.1,6.3,54.7,71950.0,2023,2033,Buyers and purchasing agents,522.2,552.3,0.3,0.3,30.1,5.8,4.7,52.2,75650.0,2024,2034,both,-1.8999999999999773,-9.100000000000023,0.0,0.0,-7.100000000000001,-1.2999999999999998,-1.5999999999999996,-2.5,3700.0
"Claims adjusters, examiners, and investigators",13-1031,Line item,345.2,330.0,0.2,0.2,-15.2,-4.4,3.0,20.9,75050.0,2023,2033,"Claims adjusters, examiners, and investigators",356.1,337.9,0.2,0.2,-18.2,-5.1,2.2,21.1,76790.0,2024,2034,both,10.900000000000034,7.899999999999977,0.0,0.0,-3.0,-0.6999999999999993,-0.7999999999999998,0.20000000000000284,1740.0
"Insurance appraisers, auto damage",13-1032,Line item,10.5,9.5,0.0,0.0,-1.0,-9.2,3.6,0.6,74520.0,2023,2033,"Insurance appraisers, auto damage",9.2,8.4,0.0,0.0,-0.8,-8.2,2.7,0.5,76650.0,2024,2034,both,-1.3000000000000007,-1.0999999999999996,0.0,0.0,0.19999999999999996,1.0,-0.8999999999999999,-0.09999999999999998,2130.0
Compliance officers,13-1041,Line item,403.9,425.8,0.2,0.2,21.9,5.4,0.6,34.4,75670.0,2023,2033,Compliance officers,418.0,430.3,0.2,0.2,12.3,3.0,0.4,33.3,78420.0,2024,2034,both,14.100000000000023,4.5,0.0,0.0,-9.599999999999998,-2.4000000000000004,-0.19999999999999996,-1.1000000000000014,2750.0
Cost estimators,13-1051,Line item,227.9,219.6,0.1,0.1,-8.3,-3.6,1.3,18.0,74740.0,2023,2033,Cost estimators,221.4,212.1,0.1,0.1,-9.3,-4.2,0.3,16.9,77070.0,2024,2034,both,-6.5,-7.5,0.0,0.0,-1.0,-0.6000000000000001,-1.0,-1.1000000000000014,2330.0
Human resources specialists,13-1071,Line item,933.7,1007.9,0.6,0.6,74.2,7.9,1.4,86.2,67650.0,2023,2033,Human resources specialists,944.3,1002.7,0.6,0.6,58.4,6.2,0.5,81.8,72910.0,2024,2034,both,10.599999999999909,-5.199999999999932,0.0,0.0,-15.800000000000004,-1.7000000000000002,-0.8999999999999999,-4.400000000000006,5260.0
Farm labor contractors,13-1074,Line item,1.5,1.6,0.0,0.0,0.1,6.6,,0.1,45730.0,2023,2033,Farm labor contractors,3.9,4.2,0.0,0.0,0.2,6.0,,0.3,48690.0,2024,2034,both,2.4,2.6,0.0,0.0,0.1,-0.5999999999999996,,0.19999999999999998,2960.0
Labor relations specialists,13-1075,Line item,65.8,65.6,0.0,0.0,-0.2,-0.3,1.4,5.3,89980.0,2023,2033,Labor relations specialists,65.4,65.4,0.0,0.0,-0.1,-0.1,0.5,5.1,93500.0,2024,2034,both,-0.3999999999999915,-0.19999999999998863,0.0,0.0,0.1,0.19999999999999998,-0.8999999999999999,-0.20000000000000018,3520.0
Logisticians,13-1081,Line item,237.1,282.9,0.1,0.2,45.8,19.3,0.9,26.1,79400.0,2023,2033,Logisticians,241.0,281.3,0.1,0.2,40.3,16.7,0.3,26.4,80880.0,2024,2034,both,3.9000000000000057,-1.599999999999966,0.0,0.0,-5.5,-2.6000000000000014,-0.6000000000000001,0.29999999999999716,1480.0
Project management specialists,13-1082,Line item,973.6,1043.4,0.6,0.6,69.9,7.2,0.4,77.0,98580.0,2023,2033,Project management specialists,1046.3,1105.0,0.6,0.6,58.7,5.6,1.8,78.2,100750.0,2024,2034,both,72.69999999999993,61.59999999999991,0.0,0.0,-11.200000000000003,-1.6000000000000005,1.4,1.2000000000000028,2170.0
Management analysts,13-1111,Line item,1018.3,1126.2,0.6,0.6,107.9,10.6,14.4,95.7,99410.0,2023,2033,Management analysts,1075.1,1169.7,0.6,0.7,94.5,8.8,13.7,98.1,101190.0,2024,2034,both,56.799999999999955,43.5,0.0,0.09999999999999998,-13.400000000000006,-1.799999999999999,-0.7000000000000011,2.3999999999999915,1780.0
"Meeting, convention, and event planners",13-1121,Line item,149.0,158.9,0.1,0.1,9.9,6.6,9.1,16.5,56920.0,2023,2033,"Meeting, convention, and event planners",155.8,163.3,0.1,0.1,7.5,4.8,5.1,15.5,59440.0,2024,2034,both,6.800000000000011,4.400000000000006,0.0,0.0,-2.4000000000000004,-1.7999999999999998,-4.0,-1.0,2520.0
Fundraisers,13-1131,Line item,125.9,133.3,0.1,0.1,7.4,5.9,0.7,10.0,64160.0,2023,2033,Fundraisers,134.4,140.2,0.1,0.1,5.8,4.3,1.9,10.2,66490.0,2024,2034,both,8.5,6.899999999999977,0.0,0.0,-1.6000000000000005,-1.6000000000000005,1.2,0.1999999999999993,2330.0
"Compensation, benefits, and job analysis specialists",13-1141,Line item,103.7,111.0,0.1,0.1,7.2,7.0,0.5,8.2,74530.0,2023,2033,"Compensation, benefits, and job analysis specialists",107.0,112.7,0.1,0.1,5.6,5.3,,8.5,77020.0,2024,2034,both,3.299999999999997,1.7000000000000028,0.0,0.0,-1.6000000000000005,-1.7000000000000002,,0.3000000000000007,2490.0
Training and development specialists,13-1151,Line item,420.1,468.6,0.3,0.3,48.5,11.5,0.3,42.2,64340.0,2023,2033,Training and development specialists,452.3,501.0,0.3,0.3,48.7,10.8,0.5,43.9,65850.0,2024,2034,both,32.19999999999999,32.39999999999998,0.0,0.0,0.20000000000000284,-0.6999999999999993,0.2,1.6999999999999957,1510.0
Market research analysts and marketing specialists,13-1161,Line item,903.4,978.3,0.5,0.6,74.9,8.3,3.6,88.5,74680.0,2023,2033,Market research analysts and marketing specialists,941.7,1004.7,0.6,0.6,63.0,6.7,5.9,87.2,76950.0,2024,2034,both,38.30000000000007,26.40000000000009,0.09999999999999998,0.0,-11.900000000000006,-1.6000000000000005,2.3000000000000003,-1.2999999999999972,2270.0
"Business operations specialists, all other",13-1199,Line item,1181.5,1245.3,0.7,0.7,63.8,5.4,1.4,107.4,79590.0,2023,2033,"Business operations specialists, all other",1205.7,1242.0,0.7,0.7,36.3,3.0,1.4,108.2,81270.0,2024,2034,both,24.200000000000045,-3.2999999999999545,0.0,0.0,-27.5,-2.4000000000000004,0.0,0.7999999999999972,1680.0
Accountants and auditors,13-2011,Line item,1562.0,1653.4,0.9,0.9,91.4,5.8,4.0,130.8,79880.0,2023,2033,Accountants and auditors,1579.8,1652.6,0.9,0.9,72.8,4.6,4.6,124.2,81680.0,2024,2034,both,17.799999999999955,-0.8000000000001819,0.0,0.0,-18.60000000000001,-1.2000000000000002,0.5999999999999996,-6.6000000000000085,1800.0
Property appraisers and assessors,13-2020,Line item,83.9,87.1,0.0,0.0,3.2,3.9,23.7,6.9,61630.0,2023,2033,Property appraisers and assessors,77.3,80.2,0.0,0.0,2.9,3.8,21.1,6.3,65420.0,2024,2034,both,-6.6000000000000085,-6.8999999999999915,0.0,0.0,-0.30000000000000027,-0.10000000000000009,-2.599999999999998,-0.6000000000000005,3790.0
Budget analysts,13-2031,Line item,50.8,52.7,0.0,0.0,2.0,3.9,0.4,3.4,84940.0,2023,2033,Budget analysts,50.4,51.0,0.0,0.0,0.5,1.0,,3.1,87930.0,2024,2034,both,-0.3999999999999986,-1.7000000000000028,0.0,0.0,-1.5,-2.9,,-0.2999999999999998,2990.0
Credit analysts,13-2041,Line item,73.7,70.8,0.0,0.0,-2.8,-3.9,,4.6,79420.0,2023,2033,Credit analysts,67.8,64.8,0.0,0.0,-3.0,-4.4,,3.7,80970.0,2024,2034,both,-5.900000000000006,-6.0,0.0,0.0,-0.20000000000000018,-0.5000000000000004,,-0.8999999999999995,1550.0
Financial and investment analysts,13-2051,Line item,347.4,380.5,0.2,0.2,33.1,9.5,3.5,26.1,99010.0,2023,2033,Financial and investment analysts,368.5,389.6,0.2,0.2,21.1,5.7,5.0,25.1,101350.0,2024,2034,both,21.100000000000023,9.100000000000023,0.0,0.0,-12.0,-3.8,1.5,-1.0,2340.0
Personal financial advisors,13-2052,Line item,321.0,375.9,0.2,0.2,55.0,17.1,13.2,27.0,99580.0,2023,2033,Personal financial advisors,326.0,357.2,0.2,0.2,31.2,9.6,15.8,24.1,102140.0,2024,2034,both,5.0,-18.69999999999999,0.0,0.0,-23.8,-7.500000000000002,2.6000000000000014,-2.8999999999999986,2560.0
Insurance underwriters,13-2053,Line item,118.4,113.7,0.1,0.1,-4.7,-4.0,0.4,7.8,77860.0,2023,2033,Insurance underwriters,127.0,123.7,0.1,0.1,-3.3,-2.6,,8.2,79880.0,2024,2034,both,8.599999999999994,10.0,0.0,0.0,1.4000000000000004,1.4,,0.39999999999999947,2020.0
Financial risk specialists,13-2054,Line item,57.5,62.3,0.0,0.0,4.8,8.4,1.4,4.6,106090.0,2023,2033,Financial risk specialists,60.5,64.4,0.0,0.0,3.9,6.5,4.0,4.8,106000.0,2024,2034,both,3.0,2.1000000000000085,0.0,0.0,-0.8999999999999999,-1.9000000000000004,2.6,0.20000000000000018,-90.0
Financial examiners,13-2061,Line item,65.5,79.2,0.0,0.0,13.8,21.0,,6.5,84300.0,2023,2033,Financial examiners,65.1,77.2,0.0,0.0,12.1,18.5,0.4,5.7,90400.0,2024,2034,both,-0.4000000000000057,-2.0,0.0,0.0,-1.700000000000001,-2.5,,-0.7999999999999998,6100.0
Credit counselors,13-2071,Line item,31.8,33.3,0.0,0.0,1.5,4.9,2.0,2.3,48570.0,2023,2033,Credit counselors,31.8,32.9,0.0,0.0,1.1,3.3,1.4,2.2,50480.0,2024,2034,both,0.0,-0.3999999999999986,0.0,0.0,-0.3999999999999999,-1.6000000000000005,-0.6000000000000001,-0.09999999999999964,1910.0
Loan officers,13-2072,Line item,334.1,338.7,0.2,0.2,4.5,1.4,2.8,22.9,69990.0,2023,2033,Loan officers,301.4,306.5,0.2,0.2,5.0,1.7,2.1,20.3,74180.0,2024,2034,both,-32.700000000000045,-32.19999999999999,0.0,0.0,0.5,0.30000000000000004,-0.6999999999999997,-2.599999999999998,4190.0
"Tax examiners and collectors, and revenue agents",13-2081,Line item,54.0,55.0,0.0,0.0,1.0,1.9,,4.1,58530.0,2023,2033,"Tax examiners and collectors, and revenue agents",57.6,56.5,0.0,0.0,-1.0,-1.8,,4.3,59740.0,2024,2034,both,3.6000000000000014,1.5,0.0,0.0,-2.0,-3.7,,0.20000000000000018,1210.0
Tax preparers,13-2082,Line item,103.8,108.2,0.1,0.1,4.4,4.2,17.9,12.2,49010.0,2023,2033,Tax preparers,90.6,94.7,0.1,0.1,4.1,4.5,15.5,10.4,50560.0,2024,2034,both,-13.200000000000003,-13.5,0.0,0.0,-0.3000000000000007,0.2999999999999998,-2.3999999999999986,-1.799999999999999,1550.0
"Financial specialists, all other",13-2099,Line item,129.8,137.9,0.1,0.1,8.1,6.2,1.0,10.1,78310.0,2023,2033,"Financial specialists, all other",137.1,141.4,0.1,0.1,4.3,3.1,2.9,10.3,80190.0,2024,2034,both,7.299999999999983,3.5,0.0,0.0,-3.8,-3.1,1.9,0.20000000000000107,1880.0
Computer systems analysts,15-1211,Line item,527.2,583.7,0.3,0.3,56.5,10.7,2.6,37.3,103800.0,2023,2033,Computer systems analysts,521.1,566.5,0.3,0.3,45.5,8.7,2.2,34.2,103790.0,2024,2034,both,-6.100000000000023,-17.200000000000045,0.0,0.0,-11.0,-2.0,-0.3999999999999999,-3.0999999999999943,-10.0
Information security analysts,15-1212,Line item,180.7,239.8,0.1,0.1,59.1,32.7,1.2,17.3,120360.0,2023,2033,Information security analysts,182.8,234.9,0.1,0.1,52.1,28.5,0.6,16.0,124910.0,2024,2034,both,2.1000000000000227,-4.900000000000006,0.0,0.0,-7.0,-4.200000000000003,-0.6,-1.3000000000000007,4550.0
Computer and information research scientists,15-1221,Line item,36.6,46.0,0.0,0.0,9.4,25.6,,3.4,145080.0,2023,2033,Computer and information research scientists,40.3,48.3,0.0,0.0,7.9,19.7,0.9,3.2,140910.0,2024,2034,both,3.6999999999999957,2.299999999999997,0.0,0.0,-1.5,-5.900000000000002,,-0.19999999999999973,-4170.0
Computer network support specialists,15-1231,Line item,166.7,178.8,0.1,0.1,12.1,7.3,2.2,12.1,71530.0,2023,2033,Computer network support specialists,152.7,155.5,0.1,0.1,2.8,1.8,2.0,9.6,73340.0,2024,2034,both,-14.0,-23.30000000000001,0.0,0.0,-9.3,-5.5,-0.20000000000000018,-2.5,1810.0
Computer user support specialists,15-1232,Line item,725.3,762.5,0.4,0.4,37.2,5.1,2.3,50.6,59240.0,2023,2033,Computer user support specialists,729.5,702.5,0.4,0.4,-27.0,-3.7,2.0,40.8,60340.0,2024,2034,both,4.2000000000000455,-60.0,0.0,0.0,-64.2,-8.8,-0.2999999999999998,-9.800000000000004,1100.0
Computer network architects,15-1241,Line item,177.8,201.7,0.1,0.1,23.9,13.4,1.0,12.3,129840.0,2023,2033,Computer network architects,179.2,200.6,0.1,0.1,21.4,11.9,0.4,11.2,130390.0,2024,2034,both,1.3999999999999773,-1.0999999999999943,0.0,0.0,-2.5,-1.5,-0.6,-1.1000000000000014,550.0
