stage,segment,ice_flag,ev_flag,naics_code,naics_title,row_type,period,employment
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2001-12-01,3793189
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-01-01,3637859
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-02-01,3641415
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-03-01,3665283
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-04-01,3720254
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-05-01,3786513
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-06-01,3823872
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-07-01,3782505
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-08-01,3820544
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-09-01,3793826
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-10-01,3768289
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-11-01,3760936
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2002-12-01,3750666
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-01-01,3608300
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-02-01,3591390
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-03-01,3607710
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-04-01,3636006
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-05-01,3715144
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-06-01,3751235
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-07-01,3683434
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-08-01,3742244
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-09-01,3724227
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-10-01,3705022
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-11-01,3697737
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2003-12-01,3696259
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-01-01,3558087
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-02-01,3551246
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-03-01,3575075
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-04-01,3638704
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-05-01,3699599
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-06-01,3731327
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-07-01,3673463
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-08-01,3737324
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-09-01,3720641
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-10-01,3706152
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-11-01,3697208
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2004-12-01,3692267
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-01-01,3550040
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-02-01,3559160
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-03-01,3579912
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-04-01,3648224
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-05-01,3707194
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-06-01,3732729
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-07-01,3690171
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-08-01,3730453
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-09-01,3722738
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-10-01,3688576
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-11-01,3687268
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2005-12-01,3675995
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-01-01,3539875
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-02-01,3527636
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-03-01,3554841
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-04-01,3603702
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-05-01,3656568
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-06-01,3698201
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-07-01,3619492
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-08-01,3669939
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-09-01,3655014
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-10-01,3614270
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-11-01,3614035
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2006-12-01,3607701
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-01-01,3471018
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-02-01,3476681
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-03-01,3494502
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-04-01,3535544
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-05-01,3604077
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-06-01,3639398
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-07-01,3588693
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-08-01,3627810
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-09-01,3607356
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-10-01,3577933
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-11-01,3581530
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2007-12-01,3571236
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-01-01,3439635
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-02-01,3435019
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-03-01,3436539
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-04-01,3452828
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-05-01,3522063
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-06-01,3556120
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-07-01,3483451
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-08-01,3515765
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-09-01,3487489
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-10-01,3453089
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-11-01,3415389
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2008-12-01,3376075
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-01-01,3151468
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-02-01,3155192
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-03-01,3147210
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-04-01,3171546
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-05-01,3201391
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-06-01,3195517
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-07-01,3166236
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-08-01,3193379
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-09-01,3192586
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-10-01,3190253
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-11-01,3172968
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2009-12-01,3161017
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-01-01,3053743
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-02-01,3055364
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-03-01,3070203
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-04-01,3130784
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-05-01,3192068
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-06-01,3229213
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-07-01,3225173
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-08-01,3238294
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-09-01,3245201
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-10-01,3249590
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-11-01,3240333
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2010-12-01,3227366
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-01-01,3149573
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-02-01,3152323
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-03-01,3179978
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-04-01,3235020
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-05-01,3298312
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-06-01,3326496
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-07-01,3317884
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-08-01,3350338
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-09-01,3351113
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-10-01,3357034
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-11-01,3352288
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2011-12-01,3336057
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-01-01,3253849
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-02-01,3259762
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-03-01,3291912
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-04-01,3335533
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-05-01,3395492
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-06-01,3423924
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-07-01,3408859
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-08-01,3429387
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-09-01,3419569
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-10-01,3422367
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-11-01,3422798
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2012-12-01,3420608
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-01-01,3341953
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-02-01,3353423
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-03-01,3378255
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-04-01,3402285
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-05-01,3487643
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-06-01,3518933
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-07-01,3487314
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-08-01,3526298
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-09-01,3515408
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-10-01,3523112
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-11-01,3520292
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2013-12-01,3508811
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-01-01,3409613
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-02-01,3428627
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-03-01,3446643
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-04-01,3469801
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-05-01,3561316
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-06-01,3608984
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-07-01,3578334
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-08-01,3599288
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-09-01,3584491
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-10-01,3590948
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-11-01,3588528
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2014-12-01,3592318
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-01-01,3495715
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-02-01,3499268
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-03-01,3516814
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-04-01,3554963
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-05-01,3637299
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-06-01,3673378
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-07-01,3651069
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-08-01,3665092
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-09-01,3650927
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-10-01,3667338
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-11-01,3659534
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2015-12-01,3656235
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-01-01,3573190
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-02-01,3578203
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-03-01,3593653
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-04-01,3646699
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-05-01,3707440
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-06-01,3743068
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-07-01,3739016
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-08-01,3746424
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-09-01,3731791
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-10-01,3729589
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-11-01,3731503
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2016-12-01,3712937
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-01-01,3638253
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-02-01,3640717
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-03-01,3660211
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-04-01,3696588
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-05-01,3764992
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-06-01,3805982
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-07-01,3772234
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-08-01,3790874
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-09-01,3764716
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-10-01,3764953
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-11-01,3764634
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2017-12-01,3749029
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-01-01,3674867
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-02-01,3683986
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-03-01,3709439
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-04-01,3730039
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-05-01,3803757
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-06-01,3852980
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-07-01,3820285
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-08-01,3832909
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-09-01,3795283
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-10-01,3815988
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-11-01,3807720
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2018-12-01,3790520
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-01-01,3718602
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-02-01,3715878
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-03-01,3733811
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-04-01,3754454
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-05-01,3822146
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-06-01,3856176
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-07-01,3828260
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-08-01,3842544
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-09-01,3807017
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-10-01,3792034
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-11-01,3812519
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2019-12-01,3805723
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-01-01,3710404
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-02-01,3720558
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-03-01,3697618
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-04-01,2761408
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-05-01,2966679
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-06-01,3332212
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-07-01,3421841
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-08-01,3478651
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-09-01,3493571
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-10-01,3543388
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-11-01,3534883
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2020-12-01,3461373
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-01-01,3401909
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-02-01,3463091
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-03-01,3488906
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-04-01,3518631
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-05-01,3583401
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-06-01,3641150
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-07-01,3656624
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-08-01,3654880
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-09-01,3635808
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-10-01,3689807
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-11-01,3702472
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2021-12-01,3699363
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2022-01-01,3614921
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2022-02-01,3652593
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2022-03-01,3670110
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2022-04-01,3719089
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2022-05-01,3768814
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2022-06-01,3810130
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2022-07-01,3804054
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2022-08-01,3805705
All Michigan Industry Employment,"Total, All Industries",,,10,"Total, all industries",all_industries_total,2022-09-01,3779197
