year,title,code,type,employment_base,employment_proj,share_base,share_proj,change_numeric,change_percent,self_employed,openings,median_wage
2023,Training and development managers,11-3131,Line item,43.2,46.4,0.0,0.0,3.2,7.3,,3.6,125040.0
2023,Other management occupations,11-9000,Summary,5448.6,5790.7,3.2,3.3,342.1,6.3,33.5,488.7,102510.0
2023,"Farmers, ranchers, and other agricultural managers",11-9013,Line item,856.6,842.9,0.5,0.5,-13.8,-1.6,65.2,88.5,83770.0
2023,Construction managers,11-9021,Line item,520.9,568.5,0.3,0.3,47.6,9.1,35.8,45.8,104900.0
2023,Education and childcare administrators,11-9030,Summary,671.6,676.0,0.4,0.4,4.3,0.6,2.6,45.2,99940.0
2023,"Education and childcare administrators, preschool and daycare",11-9031,Line item,80.9,79.2,0.0,0.0,-1.7,-2.1,5.9,5.1,54290.0
2023,"Education administrators, kindergarten through secondary",11-9032,Line item,316.6,315.0,0.2,0.2,-1.6,-0.5,1.4,20.8,103460.0
2023,"Education administrators, postsecondary",11-9033,Line item,216.4,222.7,0.1,0.1,6.2,2.9,2.7,15.2,102610.0
2023,"Education administrators, all other",11-9039,Line item,57.7,59.1,0.0,0.0,1.4,2.5,4.3,4.0,88460.0
2023,Architectural and engineering managers,11-9041,Line item,210.2,221.8,0.1,0.1,11.6,5.5,,15.0,165370.0
2023,Food service managers,11-9051,Line item,393.6,399.5,0.2,0.2,5.9,1.5,36.4,44.5,63060.0
2023,Entertainment and recreation managers,11-9070,Summary,41.1,45.2,0.0,0.0,4.1,10.1,11.2,5.4,75210.0
2023,Gambling managers,11-9071,Line item,5.3,5.5,0.0,0.0,0.3,5.1,9.5,0.7,82380.0
2023,"Entertainment and recreation managers, except gambling",11-9072,Line item,35.8,39.7,0.0,0.0,3.9,10.8,11.4,4.8,73460.0
2023,Lodging managers,11-9081,Line item,53.3,58.6,0.0,0.0,5.3,9.9,18.7,6.0,65360.0
2023,Medical and health services managers,11-9111,Line item,562.7,723.3,0.3,0.4,160.6,28.5,5.1,61.4,110680.0
2023,Natural sciences managers,11-9121,Line item,100.1,107.6,0.1,0.1,7.5,7.5,,8.3,157740.0
2023,Postmasters and mail superintendents,11-9131,Line item,13.2,12.8,0.0,0.0,-0.4,-3.0,,0.9,88670.0
2023,"Property, real estate, and community association managers",11-9141,Line item,467.1,482.2,0.3,0.3,15.1,3.2,37.4,37.8,62850.0
2023,Social and community service managers,11-9151,Line item,199.5,215.9,0.1,0.1,16.4,8.2,7.2,17.8,77030.0
2023,Emergency management directors,11-9161,Line item,12.4,12.9,0.0,0.0,0.5,4.0,,1.0,83960.0
2023,Personal service managers,11-9170,Summary,63.7,67.2,0.0,0.0,3.5,5.6,57.5,5.2,64520.0
2023,Funeral home managers,11-9171,Line item,35.8,37.4,0.0,0.0,1.6,4.5,58.3,2.9,75660.0
2023,"Personal service managers, all other",11-9179,Line item,27.9,29.8,0.0,0.0,1.9,6.9,56.5,2.3,57570.0
2023,"Managers, all other",11-9199,Line item,1282.5,1356.2,0.8,0.8,73.7,5.7,50.5,105.8,133560.0
2023,Business and financial operations occupations,13-0000,Summary,10977.2,11738.5,6.5,6.7,761.3,6.9,4.1,963.5,79050.0
2023,Business operations specialists,13-1000,Summary,7643.7,8189.7,4.6,4.7,546.0,7.1,3.7,694.1,78500.0
2023,"Agents and business managers of artists, performers, and athletes",13-1011,Line item,18.6,20.4,0.0,0.0,1.7,9.2,33.6,2.1,84900.0
2023,Buyers and purchasing agents,13-1020,Line item,524.1,561.4,0.3,0.3,37.2,7.1,6.3,54.7,71950.0
2023,"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,355.6,339.5,0.2,0.2,-16.2,-4.6,3.0,21.5,75020.0
2023,"Claims adjusters, examiners, and investigators",13-1031,Line item,345.2,330.0,0.2,0.2,-15.2,-4.4,3.0,20.9,75050.0
2023,"Insurance appraisers, auto damage",13-1032,Line item,10.5,9.5,0.0,0.0,-1.0,-9.2,3.6,0.6,74520.0
2023,Compliance officers,13-1041,Line item,403.9,425.8,0.2,0.2,21.9,5.4,0.6,34.4,75670.0
2023,Cost estimators,13-1051,Line item,227.9,219.6,0.1,0.1,-8.3,-3.6,1.3,18.0,74740.0
2023,Human resources workers,13-1070,Summary,1001.0,1075.1,0.6,0.6,74.1,7.4,1.4,91.7,69520.0
2023,Human resources specialists,13-1071,Line item,933.7,1007.9,0.6,0.6,74.2,7.9,1.4,86.2,67650.0
2023,Farm labor contractors,13-1074,Line item,1.5,1.6,0.0,0.0,0.1,6.6,,0.1,45730.0
2023,Labor relations specialists,13-1075,Line item,65.8,65.6,0.0,0.0,-0.2,-0.3,1.4,5.3,89980.0
2023,Logisticians and project management specialists,13-1080,Summary,1210.7,1326.3,0.7,0.8,115.6,9.6,0.5,103.2,94630.0
2023,Logisticians,13-1081,Line item,237.1,282.9,0.1,0.2,45.8,19.3,0.9,26.1,79400.0
2023,Project management specialists,13-1082,Line item,973.6,1043.4,0.6,0.6,69.9,7.2,0.4,77.0,98580.0
2023,Management analysts,13-1111,Line item,1018.3,1126.2,0.6,0.6,107.9,10.6,14.4,95.7,99410.0
2023,"Meeting, convention, and event planners",13-1121,Line item,149.0,158.9,0.1,0.1,9.9,6.6,9.1,16.5,56920.0
2023,Fundraisers,13-1131,Line item,125.9,133.3,0.1,0.1,7.4,5.9,0.7,10.0,64160.0
2023,"Compensation, benefits, and job analysis specialists",13-1141,Line item,103.7,111.0,0.1,0.1,7.2,7.0,0.5,8.2,74530.0
2023,Training and development specialists,13-1151,Line item,420.1,468.6,0.3,0.3,48.5,11.5,0.3,42.2,64340.0
2023,Market research analysts and marketing specialists,13-1161,Line item,903.4,978.3,0.5,0.6,74.9,8.3,3.6,88.5,74680.0
2023,"Business operations specialists, all other",13-1199,Line item,1181.5,1245.3,0.7,0.7,63.8,5.4,1.4,107.4,79590.0
2023,Financial specialists,13-2000,Summary,3333.5,3548.8,2.0,2.0,215.3,6.5,5.0,269.4,80090.0
2023,Accountants and auditors,13-2011,Line item,1562.0,1653.4,0.9,0.9,91.4,5.8,4.0,130.8,79880.0
2023,Property appraisers and assessors,13-2020,Line item,83.9,87.1,0.0,0.0,3.2,3.9,23.7,6.9,61630.0
2023,Budget analysts,13-2031,Line item,50.8,52.7,0.0,0.0,2.0,3.9,0.4,3.4,84940.0
2023,Credit analysts,13-2041,Line item,73.7,70.8,0.0,0.0,-2.8,-3.9,,4.6,79420.0
2023,Financial analysts and advisors,13-2050,Summary,844.2,932.4,0.5,0.5,88.2,10.5,6.6,65.4,97450.0
2023,Financial and investment analysts,13-2051,Line item,347.4,380.5,0.2,0.2,33.1,9.5,3.5,26.1,99010.0
2023,Personal financial advisors,13-2052,Line item,321.0,375.9,0.2,0.2,55.0,17.1,13.2,27.0,99580.0
2023,Insurance underwriters,13-2053,Line item,118.4,113.7,0.1,0.1,-4.7,-4.0,0.4,7.8,77860.0
2023,Financial risk specialists,13-2054,Line item,57.5,62.3,0.0,0.0,4.8,8.4,1.4,4.6,106090.0
2023,Financial examiners,13-2061,Line item,65.5,79.2,0.0,0.0,13.8,21.0,,6.5,84300.0
2023,Credit counselors and loan officers,13-2070,Summary,365.9,372.0,0.2,0.2,6.1,1.7,2.8,25.3,65280.0
2023,Credit counselors,13-2071,Line item,31.8,33.3,0.0,0.0,1.5,4.9,2.0,2.3,48570.0
2023,Loan officers,13-2072,Line item,334.1,338.7,0.2,0.2,4.5,1.4,2.8,22.9,69990.0
2023,"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,157.8,163.2,0.1,0.1,5.4,3.4,11.8,16.4,54080.0
2023,"Tax examiners and collectors, and revenue agents",13-2081,Line item,54.0,55.0,0.0,0.0,1.0,1.9,,4.1,58530.0
2023,Tax preparers,13-2082,Line item,103.8,108.2,0.1,0.1,4.4,4.2,17.9,12.2,49010.0
2023,"Financial specialists, all other",13-2099,Line item,129.8,137.9,0.1,0.1,8.1,6.2,1.0,10.1,78310.0
2023,Computer and mathematical occupations,15-0000,Summary,5417.6,6116.7,3.2,3.5,699.0,12.9,2.1,393.9,104200.0
2023,Computer occupations,15-1200,Summary,5021.8,5608.5,3.0,3.2,586.8,11.7,2.2,356.7,104420.0
2023,Computer and information analysts,15-1210,Summary,708.0,823.6,0.4,0.5,115.6,16.3,2.2,54.6,105830.0
2023,Computer systems analysts,15-1211,Line item,527.2,583.7,0.3,0.3,56.5,10.7,2.6,37.3,103800.0
2023,Information security analysts,15-1212,Line item,180.7,239.8,0.1,0.1,59.1,32.7,1.2,17.3,120360.0
2023,Computer and information research scientists,15-1221,Line item,36.6,46.0,0.0,0.0,9.4,25.6,,3.4,145080.0
2023,Computer support specialists,15-1230,Summary,892.0,941.3,0.5,0.5,49.3,5.5,2.3,62.7,60810.0
2023,Computer network support specialists,15-1231,Line item,166.7,178.8,0.1,0.1,12.1,7.3,2.2,12.1,71530.0
2023,Computer user support specialists,15-1232,Line item,725.3,762.5,0.4,0.4,37.2,5.1,2.3,50.6,59240.0
2023,Database and network administrators and architects,15-1240,Summary,655.1,683.4,0.4,0.4,28.3,4.3,0.3,38.2,105720.0
2023,Computer network architects,15-1241,Line item,177.8,201.7,0.1,0.1,23.9,13.4,1.0,12.3,129840.0
2023,Database administrators,15-1242,Line item,80.5,87.1,0.0,0.0,6.6,8.2,0.3,5.3,101510.0
2023,Database architects,15-1243,Line item,61.4,68.0,0.0,0.0,6.6,10.8,0.3,4.2,134700.0
2023,Network and computer systems administrators,15-1244,Line item,335.4,326.6,0.2,0.2,-8.8,-2.6,,16.4,95360.0
2023,"Software and web developers, programmers, and testers",15-1250,Summary,2259.2,2592.3,1.3,1.5,333.1,14.7,2.4,163.0,127120.0
2023,Computer programmers,15-1251,Line item,139.4,126.0,0.1,0.1,-13.4,-9.6,11.2,6.4,99700.0
2023,Software developers,15-1252,Line item,1692.1,1995.7,1.0,1.1,303.7,17.9,1.1,125.1,132270.0
2023,Software quality assurance analysts and testers,15-1253,Line item,205.0,229.2,0.1,0.1,24.2,11.8,,15.0,101800.0
2023,Web developers,15-1254,Line item,94.1,102.5,0.1,0.1,8.5,9.0,6.4,6.6,84960.0
2023,Web and digital interface designers,15-1255,Line item,128.6,138.8,0.1,0.1,10.2,7.9,10.0,9.9,98540.0
2023,"Computer occupations, all other",15-1299,Line item,470.9,522.0,0.3,0.3,51.1,10.8,3.9,34.8,104920.0
2023,Mathematical science occupations,15-2000,Summary,395.9,508.1,0.2,0.3,112.3,28.4,1.1,37.1,101460.0
2023,Actuaries,15-2011,Line item,30.2,36.8,0.0,0.0,6.6,21.8,,2.2,120000.0
2023,Mathematicians,15-2021,Line item,2.5,2.5,0.0,0.0,0.1,3.7,,0.2,116440.0
2023,Operations research analysts,15-2031,Line item,123.3,151.6,0.1,0.1,28.3,23.0,,11.3,83640.0
2023,Statisticians,15-2041,Line item,32.4,36.2,0.0,0.0,3.8,11.8,1.3,2.3,104110.0
2023,Data scientists,15-2051,Line item,202.9,276.0,0.1,0.2,73.1,36.0,1.8,20.8,108020.0
2023,"Mathematical science occupations, all other",15-2099,Line item,4.6,4.9,0.0,0.0,0.3,6.9,1.3,0.3,70620.0
2023,Architecture and engineering occupations,17-0000,Summary,2639.7,2819.7,1.6,1.6,180.0,6.8,2.3,195.0,91420.0
2023,"Architects, surveyors, and cartographers",17-1000,Summary,217.4,232.4,0.1,0.1,15.0,6.9,10.2,15.5,80850.0
2023,"Architects, except naval",17-1010,Summary,152.0,163.0,0.1,0.1,11.0,7.3,13.4,10.5,85800.0
2023,"Architects, except landscape and naval",17-1011,Line item,127.3,137.2,0.1,0.1,9.9,7.8,12.5,8.5,93310.0
2023,Landscape architects,17-1012,Line item,24.7,25.8,0.0,0.0,1.2,4.7,17.8,2.1,79320.0
2023,"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,65.5,69.4,0.0,0.0,3.9,6.0,2.8,4.9,70810.0
2023,Cartographers and photogrammetrists,17-1021,Line item,12.9,13.7,0.0,0.0,0.8,6.3,1.8,1.0,76210.0
2023,Surveyors,17-1022,Line item,52.6,55.7,0.0,0.0,3.1,5.9,3.1,4.0,68540.0
2023,Engineers,17-2000,Summary,1756.1,1906.5,1.0,1.1,150.4,8.6,1.3,118.5,102660.0
2023,Aerospace engineers,17-2011,Line item,68.9,73.0,0.0,0.0,4.1,6.0,,4.2,130720.0
2023,Agricultural engineers,17-2021,Line item,1.9,2.0,0.0,0.0,0.1,7.8,,0.1,88750.0
2023,Bioengineers and biomedical engineers,17-2031,Line item,19.7,21.2,0.0,0.0,1.5,7.4,0.3,1.4,100730.0
2023,Chemical engineers,17-2041,Line item,21.4,23.5,0.0,0.0,2.1,9.8,,1.4,112100.0
2023,Civil engineers,17-2051,Line item,341.8,363.9,0.2,0.2,22.1,6.5,2.1,22.9,95890.0
2023,Computer hardware engineers,17-2061,Line item,84.1,90.2,0.1,0.1,6.1,7.2,0.8,5.0,138080.0
2023,Electrical and electronics engineers,17-2070,Summary,287.8,313.9,0.2,0.2,26.2,9.1,0.8,19.0,109010.0
2023,Electrical engineers,17-2071,Line item,189.1,206.3,0.1,0.1,17.2,9.1,0.8,12.5,106950.0
2023,"Electronics engineers, except computer",17-2072,Line item,98.7,107.6,0.1,0.1,8.9,9.1,0.7,6.5,119200.0
2023,Environmental engineers,17-2081,Line item,41.3,44.2,0.0,0.0,2.9,6.9,0.9,3.0,100090.0
2023,"Industrial engineers, including health and safety",17-2110,Summary,359.7,401.8,0.2,0.2,42.1,11.7,0.4,26.8,99500.0
2023,"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,23.1,24.3,0.0,0.0,1.2,5.1,0.4,1.5,103690.0
2023,Industrial engineers,17-2112,Line item,336.6,377.5,0.2,0.2,40.9,12.2,0.4,25.2,99380.0
2023,Marine engineers and naval architects,17-2121,Line item,10.1,11.0,0.0,0.0,0.8,8.0,,0.9,100270.0
2023,Materials engineers,17-2131,Line item,25.0,26.9,0.0,0.0,1.8,7.4,,1.7,104100.0
2023,Mechanical engineers,17-2141,Line item,291.9,323.9,0.2,0.2,32.1,11.0,1.6,19.8,99510.0
2023,"Mining and geological engineers, including mining safety engineers",17-2151,Line item,7.1,7.3,0.0,0.0,0.1,2.0,,0.4,100640.0
2023,Nuclear engineers,17-2161,Line item,13.4,13.3,0.0,0.0,-0.1,-0.8,3.4,0.7,125460.0
2023,Petroleum engineers,17-2171,Line item,20.8,21.3,0.0,0.0,0.5,2.4,,1.2,135690.0
2023,"Engineers, all other",17-2199,Line item,161.1,169.2,0.1,0.1,8.0,5.0,3.1,10.1,111970.0
2023,"Drafters, engineering technicians, and mapping technicians",17-3000,Summary,666.2,680.9,0.4,0.4,14.7,2.2,2.3,61.0,63100.0
2023,Drafters,17-3010,Summary,204.5,203.2,0.1,0.1,-1.3,-0.6,5.1,16.9,62530.0
2023,Architectural and civil drafters,17-3011,Line item,112.3,113.6,0.1,0.1,1.3,1.1,1.0,9.2,61820.0
2023,Electrical and electronics drafters,17-3012,Line item,23.2,24.2,0.0,0.0,1.0,4.1,10.1,2.2,69260.0
2023,Mechanical drafters,17-3013,Line item,50.4,47.9,0.0,0.0,-2.5,-4.9,10.2,4.0,64060.0
2023,"Drafters, all other",17-3019,Line item,18.5,17.4,0.0,0.0,-1.1,-5.7,10.1,1.5,59260.0
2023,"Engineering technologists and technicians, except drafters",17-3020,Summary,404.3,417.1,0.2,0.2,12.8,3.2,0.9,36.5,64840.0
2023,Aerospace engineering and operations technologists and technicians,17-3021,Line item,11.0,11.9,0.0,0.0,0.9,7.9,1.2,1.1,77830.0
2023,Civil engineering technologists and technicians,17-3022,Line item,66.0,67.1,0.0,0.0,1.2,1.8,0.7,5.7,60700.0
2023,Electrical and electronic engineering technologists and technicians,17-3023,Line item,99.6,102.6,0.1,0.1,3.0,3.0,0.6,9.5,72800.0
2023,Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,15.8,15.6,0.0,0.0,-0.2,-1.2,1.2,1.3,65080.0
2023,Environmental engineering technologists and technicians,17-3025,Line item,14.2,14.5,0.0,0.0,0.3,2.3,1.0,1.2,54000.0
2023,Industrial engineering technologists and technicians,17-3026,Line item,74.5,77.6,0.0,0.0,3.0,4.1,1.2,6.7,62610.0
2023,Mechanical engineering technologists and technicians,17-3027,Line item,39.9,40.7,0.0,0.0,0.8,1.9,1.2,3.5,64020.0
2023,Calibration technologists and technicians,17-3028,Line item,13.8,14.5,0.0,0.0,0.8,5.5,1.2,1.3,62790.0
2023,"Engineering technologists and technicians, except drafters, all other",17-3029,Line item,69.5,72.6,0.0,0.0,3.1,4.4,0.9,6.3,73500.0
2023,Surveying and mapping technicians,17-3031,Line item,57.4,60.6,0.0,0.0,3.2,5.6,1.6,7.6,48940.0
2023,"Life, physical, and social science occupations",19-0000,Summary,1574.1,1691.7,0.9,1.0,117.6,7.5,5.2,148.4,78280.0
2023,Life scientists,19-1000,Summary,388.8,422.4,0.2,0.2,33.6,8.6,1.4,29.1,88620.0
2023,Agricultural and food scientists,19-1010,Summary,37.2,40.2,0.0,0.0,2.9,7.9,,3.1,76400.0
2023,Animal scientists,19-1011,Line item,2.5,2.7,0.0,0.0,0.2,7.9,,0.2,70140.0
2023,Food scientists and technologists,19-1012,Line item,14.5,15.7,0.0,0.0,1.3,8.9,,1.2,82090.0
2023,Soil and plant scientists,19-1013,Line item,20.3,21.7,0.0,0.0,1.5,7.2,,1.7,68240.0
2023,Biological scientists,19-1020,Summary,144.6,154.0,0.1,0.1,9.4,6.5,1.5,11.9,91790.0
2023,Biochemists and biophysicists,19-1021,Line item,35.7,39.0,0.0,0.0,3.2,9.0,2.2,3.1,107460.0
2023,Microbiologists,19-1022,Line item,23.2,24.8,0.0,0.0,1.6,6.7,1.8,1.9,85470.0
2023,Zoologists and wildlife biologists,19-1023,Line item,18.8,19.6,0.0,0.0,0.8,4.4,0.6,1.5,70600.0
2023,"Biological scientists, all other",19-1029,Line item,66.8,70.6,0.0,0.0,3.8,5.6,1.4,5.4,91100.0
2023,Conservation scientists and foresters,19-1030,Summary,41.4,43.3,0.0,0.0,1.9,4.6,4.0,3.9,68300.0
2023,Conservation scientists,19-1031,Line item,25.9,27.4,0.0,0.0,1.4,5.6,4.1,2.5,68750.0
2023,Foresters,19-1032,Line item,15.4,15.9,0.0,0.0,0.5,3.0,3.8,1.4,67330.0
2023,Medical scientists,19-1040,Summary,157.6,176.5,0.1,0.1,18.9,12.0,0.9,9.7,99980.0
2023,Epidemiologists,19-1041,Line item,11.0,13.1,0.0,0.0,2.1,18.8,,0.8,81390.0
2023,"Medical scientists, except epidemiologists",19-1042,Line item,146.6,163.4,0.1,0.1,16.8,11.5,0.9,8.9,100890.0
2023,"Life scientists, all other",19-1099,Line item,8.0,8.5,0.0,0.0,0.5,6.5,0.8,0.4,86950.0
2023,Physical scientists,19-2000,Summary,280.9,299.2,0.2,0.2,18.2,6.5,3.6,23.8,89350.0
2023,Astronomers and physicists,19-2010,Summary,23.5,25.2,0.0,0.0,1.7,7.2,6.9,1.6,149530.0
2023,Astronomers,19-2011,Line item,2.4,2.6,0.0,0.0,0.2,7.4,6.2,0.2,127930.0
2023,Physicists,19-2012,Line item,21.1,22.6,0.0,0.0,1.5,7.2,7.0,1.4,155680.0
2023,Atmospheric and space scientists,19-2021,Line item,9.9,10.5,0.0,0.0,0.6,5.6,,0.9,92860.0
2023,Chemists and materials scientists,19-2030,Summary,96.4,103.9,0.1,0.1,7.5,7.7,,7.8,87180.0
2023,Chemists,19-2031,Line item,87.2,93.8,0.1,0.1,6.6,7.6,,7.1,84680.0
2023,Materials scientists,19-2032,Line item,9.2,10.0,0.0,0.0,0.8,8.7,,0.8,106160.0
2023,Environmental scientists and geoscientists,19-2040,Summary,117.1,124.8,0.1,0.1,7.7,6.6,,11.1,81360.0
2023,"Environmental scientists and specialists, including health",19-2041,Line item,84.6,90.7,0.1,0.1,6.1,7.3,,8.5,78980.0
2023,"Geoscientists, except hydrologists and geographers",19-2042,Line item,26.0,27.4,0.0,0.0,1.4,5.5,,2.2,92580.0
2023,Hydrologists,19-2043,Line item,6.5,6.7,0.0,0.0,0.2,2.8,,0.5,88770.0
2023,"Physical scientists, all other",19-2099,Line item,34.1,34.9,0.0,0.0,0.8,2.3,24.7,2.3,112280.0
2023,Social scientists and related workers,19-3000,Summary,342.3,361.8,0.2,0.2,19.5,5.7,16.9,24.0,89440.0
2023,Economists,19-3011,Line item,17.5,18.4,0.0,0.0,0.9,5.1,0.4,1.0,115730.0
2023,Survey researchers,19-3022,Line item,9.7,9.7,0.0,0.0,0.0,-0.2,5.8,0.8,60960.0
2023,Psychologists,19-3030,Summary,207.5,221.6,0.1,0.1,14.0,6.8,26.4,13.0,92740.0
2023,Industrial-organizational psychologists,19-3032,Line item,8.6,9.1,0.0,0.0,0.5,5.8,87.6,0.6,147420.0
2023,Clinical and counseling psychologists,19-3033,Line item,76.8,87.0,0.0,0.0,10.2,13.3,4.3,5.1,96100.0
2023,School psychologists,19-3034,Line item,65.5,66.0,0.0,0.0,0.5,0.7,4.3,3.6,84940.0
2023,"Psychologists, all other",19-3039,Line item,56.6,59.4,0.0,0.0,2.9,5.0,72.5,3.8,117750.0
2023,Sociologists,19-3041,Line item,3.3,3.6,0.0,0.0,0.2,6.9,3.9,0.3,101770.0
2023,Urban and regional planners,19-3051,Line item,45.2,47.1,0.0,0.0,2.0,4.3,2.1,3.6,81800.0
2023,Miscellaneous social scientists and related workers,19-3090,Summary,59.1,61.5,0.0,0.0,2.4,4.1,2.4,5.3,91210.0
2023,Anthropologists and archeologists,19-3091,Line item,8.7,9.3,0.0,0.0,0.7,7.8,5.0,0.8,63800.0
2023,Geographers,19-3092,Line item,1.6,1.7,0.0,0.0,0.0,2.5,,0.1,90880.0
2023,Historians,19-3093,Line item,3.4,3.6,0.0,0.0,0.2,5.7,2.8,0.3,72890.0
2023,Political scientists,19-3094,Line item,6.2,6.3,0.0,0.0,0.2,2.6,1.7,0.5,132350.0
2023,"Social scientists and related workers, all other",19-3099,Line item,39.2,40.6,0.0,0.0,1.3,3.4,2.0,3.5,95890.0
2023,"Life, physical, and social science technicians",19-4000,Summary,408.5,432.8,0.2,0.2,24.3,6.0,2.1,53.4,53700.0
2023,Agricultural and food science technicians,19-4010,Summary,44.7,47.7,0.0,0.0,3.0,6.7,6.3,6.9,47010.0
2023,Agricultural technicians,19-4012,Line item,19.6,20.8,0.0,0.0,1.2,5.9,5.8,3.0,43180.0
2023,Food science technicians,19-4013,Line item,25.1,26.9,0.0,0.0,1.8,7.3,6.7,3.9,49090.0
2023,Biological technicians,19-4021,Line item,83.1,88.6,0.0,0.1,5.5,6.6,,10.3,51430.0
2023,Chemical technicians,19-4031,Line item,58.3,61.4,0.0,0.0,3.2,5.5,0.9,7.3,56750.0
2023,Environmental science and geoscience technicians,19-4040,Summary,46.2,49.0,0.0,0.0,2.8,6.0,,5.5,51220.0
2023,"Environmental science and protection technicians, including health",19-4042,Line item,33.9,36.2,0.0,0.0,2.4,7.0,,4.1,50660.0
2023,"Geological technicians, except hydrologic technicians",19-4043,Line item,9.2,9.5,0.0,0.0,0.3,3.8,,1.1,52440.0
2023,Hydrologic technicians,19-4044,Line item,3.2,3.3,0.0,0.0,0.1,2.4,,0.4,55890.0
2023,Nuclear technicians,19-4051,Line item,5.4,5.1,0.0,0.0,-0.3,-6.2,,0.5,101740.0
2023,Social science research assistants,19-4061,Line item,37.5,39.9,0.0,0.0,2.4,6.3,4.0,5.0,56400.0
2023,Forest and conservation technicians,19-4071,Line item,31.3,31.8,0.0,0.0,0.5,1.7,0.6,4.0,51880.0
2023,"Miscellaneous life, physical, and social science technicians",19-4090,Summary,101.9,109.3,0.1,0.1,7.4,7.2,3.6,13.8,59800.0
2023,Forensic science technicians,19-4092,Line item,18.6,21.2,0.0,0.0,2.5,13.6,0.7,2.7,64940.0
2023,"Life, physical, and social science technicians, all other",19-4099,Line item,83.3,88.2,0.0,0.1,4.8,5.8,4.3,11.1,58350.0
2023,Occupational health and safety specialists and technicians,19-5000,Summary,153.5,175.5,0.1,0.1,21.9,14.3,0.2,18.2,77580.0
2023,Occupational health and safety specialists,19-5011,Line item,125.9,144.7,0.1,0.1,18.8,14.9,0.2,15.1,81140.0
2023,Occupational health and safety technicians,19-5012,Line item,27.6,30.8,0.0,0.0,3.2,11.4,0.2,3.2,57920.0
2023,Community and social service occupations,21-0000,Summary,3044.7,3291.7,1.8,1.9,247.0,8.1,3.8,299.4,52000.0
2023,"Counselors, social workers, and other community and social service specialists",21-1000,Summary,2544.8,2780.0,1.5,1.6,235.2,9.2,3.8,249.3,51970.0
2023,Counselors,21-1010,Summary,1040.0,1164.1,0.6,0.7,124.1,11.9,7.7,100.9,56470.0
